subject,eyes_closed,eyes_open,diff
S001,0.8934407111346967,0.8111191485460526,0.08232156258864409
S002,0.9595745772237924,0.7932108462354891,0.16636373098830326
S003,1.0786455053330481,0.6233108343645477,0.45533467096850044
S004,1.1110062875307112,0.6931488799044933,0.4178574076262179
S005,0.7279710919231293,0.851574761772781,-0.12360366984965176
S006,0.6074131837825412,0.5913407422315684,0.01607244155097276
S007,0.8648485723190042,0.7120173685557468,0.15283120376325743
S008,0.9692782018535554,0.7523282947391486,0.21694990711440676
S009,0.7716317378045577,0.7272879973022452,0.04434374050231249
S010,1.001288638141994,0.7235984027344269,0.2776902354075672
S011,0.8213628677272398,0.7053179836657747,0.11604488406146507
S012,0.4950010340210395,0.6782478801691515,-0.18324684614811199
S013,0.7355468470424988,0.7646145744635802,-0.029067727421081324
S014,0.8385454137575927,0.7605709825138276,0.07797443124376513
S015,0.9243568822864238,0.7913120903214377,0.1330447919649861
S016,0.6586189744603745,0.5959928487615141,0.06262612569886039
S017,0.7358412869658051,0.6946498582359623,0.04119142872984283
S018,0.8027038672308243,0.7080786212901039,0.09462524594072041
S019,0.7913155328093268,0.7142950756651961,0.07702045714413064
S020,0.8175271394564434,0.6837670030895981,0.13376013636684525
S021,1.1046909518433283,0.7347306170377851,0.36996033480554325
S022,0.7545434323032015,0.8013176261529955,-0.04677419384979398
S023,0.7849621121178213,0.6815490857359614,0.1034130263818599
S024,0.7738018544066164,0.7367259153271687,0.03707593907944773
S025,0.8391881689971555,0.626271332825562,0.21291683617159352
S026,0.8055312510393872,0.5479284800583614,0.2576027709810258
S027,0.7992797025613814,0.7845380483919587,0.014741654169422636
S028,0.9185793214900303,0.8029851988670105,0.11559412262301982
S029,1.0395076235168694,0.8236965703182142,0.21581105319865523
S030,0.6965049529338615,0.7141701024918253,-0.017665149557963833
S031,0.8265872333451819,0.8632284771092988,-0.036641243764116926
S032,0.7226503502321728,0.7438982266296429,-0.021247876397470056
S033,0.8170044136310268,0.7336949063655417,0.08330950726548514
S034,0.7929374469506953,0.7916186848514264,0.0013187620992689553
S035,0.7309403220035632,0.8068336444238651,-0.07589332242030189
S036,0.7819789333009656,0.5777529007191206,0.20422603258184502
S037,0.8101414457211308,0.5798367793479771,0.23030466637315372
S038,0.9118819430483023,0.6186634639434009,0.2932184791049014
S039,0.6502350402819637,0.7375372341270316,-0.08730219384506799
S040,0.694980954244161,0.8128734937525789,-0.11789253950841794
S041,0.7958532611701392,0.7512071543265466,0.0446461068435926
S042,0.9542773197824386,0.7585748223650102,0.1957024974174284
S043,1.0006988077252035,0.8066858807669572,0.19401292695824623
S044,1.0850310087638135,0.901126911796571,0.18390409696724253
S045,0.766862592003296,0.8310368340520257,-0.06417424204872968
S046,0.95185628527298,0.72730754279367,0.22454874247931
S047,0.9161694424213611,0.8002276187199049,0.11594182370145623
S048,0.7930456355440884,0.7914573980331172,0.0015882375109711466
S049,0.8111801054506216,0.7371491164875971,0.07403098896302451
S050,0.7952222677611523,0.704017174035275,0.09120509372587737
S051,0.5952455551038306,0.7508578962860137,-0.15561234118218314
S052,0.9044037635693882,0.8867716312771585,0.017632132292229707
S053,0.7409707088872438,0.7647856673988764,-0.023814958511632622
S054,0.8993318190442245,0.6587687261507632,0.24056309289346134
S055,0.992647141007932,0.7323797835286466,0.2602673574792854
S056,0.9586223330523255,0.9587017460760557,-7.941302373026815e-05
S057,0.8935152715515005,0.7007930273058889,0.19272224424561157
S058,0.8889487886330174,0.7982393951402191,0.09070939349279827
S059,0.7576945442730402,0.7469030613076922,0.010791482965347932
S060,0.8900887560459299,0.7500344188977538,0.14005433714817606
S061,0.9032606398630958,0.7703504001707969,0.13291023969229887
S062,0.7221703924538995,0.8462590642595638,-0.1240886718056643
S063,0.6263967997114255,0.7778018220548166,-0.15140502234339115
S064,0.7874471715603403,0.7017386119430976,0.08570855961724266
S065,0.829724311790988,0.7066395353841268,0.12308477640686122
S066,0.8014400461300317,0.7392083796262415,0.062231666503790195
S067,0.6643563179005819,0.7796369915803774,-0.11528067367979544
S068,0.7466002055461772,0.7426961919811343,0.0039040135650428853
S069,0.7486445166172452,0.7691982428007,-0.020553726183454857
S070,0.7977766113141,0.79234707274689,0.005429538567210068
S071,0.9054244102583747,0.7365435599900633,0.16888085026831146
S072,0.7509748630275435,0.8449924410311944,-0.09401757800365096
S073,0.6965594490444847,0.677766336565077,0.018793112479407736
S074,0.888837886817847,0.8825906573886699,0.0062472294291771036
S075,0.8907807372758284,0.7413186167828061,0.14946212049302232
S076,0.675974389585498,0.7627185229391246,-0.08674413335362652
S077,0.9272957383813818,0.8822365999954255,0.04505913838595632
S078,0.8512575096493626,0.7585852519983569,0.09267225765100573
S079,0.7283452941299727,0.7265937826590207,0.001751511470951983
S080,0.9561331242423039,0.5781735883079844,0.3779595359343195
